adcode,name,shortName,unitType,parentAdcode,provinceName,region7,region4,capital,playable_3d,contentTier,packId,status,aliases
110000,北京市,京,municipality,,北京市,华北,北方地区,北京,false,S,beijing,live,"京,首都"
120000,天津市,津,municipality,,天津市,华北,北方地区,天津,false,A,tianjin,live,津
130000,河北省,冀,province,,河北省,华北,北方地区,石家庄,false,B,shijiazhuang,live,冀
140000,山西省,晋,province,,山西省,华北,北方地区,太原,false,B,taiyuan,live,晋
150000,内蒙古自治区,内蒙古,autonomous_region,,内蒙古自治区,华北,北方地区,呼和浩特,false,B,hohhot,live,"内蒙古,内蒙"
210000,辽宁省,辽,province,,辽宁省,东北,北方地区,沈阳,false,B,shenyang,live,辽
220000,吉林省,吉,province,,吉林省,东北,北方地区,长春,false,B,changchun,live,吉
230000,黑龙江省,黑,province,,黑龙江省,东北,北方地区,哈尔滨,false,A,harbin,live,黑
310000,上海市,沪,municipality,,上海市,华东,南方地区,上海,false,S,shanghai,live,"沪,申"
320000,江苏省,苏,province,,江苏省,华东,南方地区,南京,false,B,nanjing,live,苏
330000,浙江省,浙,province,,浙江省,华东,南方地区,杭州,false,B,hangzhou,live,浙
340000,安徽省,皖,province,,安徽省,华东,南方地区,合肥,false,B,hefei,live,皖
350000,福建省,闽,province,,福建省,华东,南方地区,福州,false,B,fuzhou,live,闽
360000,江西省,赣,province,,江西省,华东,南方地区,南昌,false,B,nanchang,live,赣
370000,山东省,鲁,province,,山东省,华东,北方地区,济南,false,B,jinan,live,鲁
410000,河南省,豫,province,,河南省,华中,北方地区,郑州,false,B,zhengzhou,live,豫
420000,湖北省,鄂,province,,湖北省,华中,南方地区,武汉,false,A,wuhan,live,鄂
430000,湖南省,湘,province,,湖南省,华中,南方地区,长沙,false,B,changsha,live,湘
440000,广东省,粤,province,,广东省,华南,南方地区,广州,false,S,guangzhou,live,粤
450000,广西壮族自治区,桂,autonomous_region,,广西壮族自治区,华南,南方地区,南宁,false,B,nanning,live,"桂,广西"
460000,海南省,琼,province,,海南省,华南,南方地区,海口,false,B,haikou,live,琼
500000,重庆市,渝,municipality,,重庆市,西南,南方地区,重庆,false,S,chongqing,live,渝
510000,四川省,川,province,,四川省,西南,南方地区,成都,false,S,chengdu,live,"川,蜀"
520000,贵州省,贵,province,,贵州省,西南,南方地区,贵阳,false,B,guiyang,live,"贵,黔"
530000,云南省,云,province,,云南省,西南,南方地区,昆明,false,B,kunming,live,"云,滇"
540000,西藏自治区,藏,autonomous_region,,西藏自治区,西南,青藏地区,拉萨,false,B,lhasa,live,"藏,西藏"
610000,陕西省,陕,province,,陕西省,西北,北方地区,西安,false,S,xian,live,"陕,秦"
620000,甘肃省,甘,province,,甘肃省,西北,西北地区,兰州,false,B,lanzhou,live,"甘,陇"
630000,青海省,青,province,,青海省,西北,青藏地区,西宁,false,B,xining,live,青
640000,宁夏回族自治区,宁,autonomous_region,,宁夏回族自治区,西北,西北地区,银川,false,B,yinchuan,live,"宁,宁夏"
650000,新疆维吾尔自治区,新,autonomous_region,,新疆维吾尔自治区,西北,西北地区,乌鲁木齐,false,B,urumqi,live,"新,新疆"
710000,台湾省,台,province,,台湾省,华东,南方地区,台北,false,D,taipei,live,"台,台湾"
810000,香港特别行政区,港,sar,,香港特别行政区,华南,南方地区,香港,false,S,hongkong,live,"港,香港"
820000,澳门特别行政区,澳,sar,,澳门特别行政区,华南,南方地区,澳门,false,A,macau,live,"澳,澳门"
130100,石家庄市,,prefecture_city,130000,河北省,华北,北方地区,石家庄,true,A,shijiazhuang,live,
130200,唐山市,,prefecture_city,130000,河北省,华北,北方地区,唐山,true,B,tangshan,live,
130300,秦皇岛市,,prefecture_city,130000,河北省,华北,北方地区,秦皇岛,false,B,,placeholder,
130400,邯郸市,,prefecture_city,130000,河北省,华北,北方地区,邯郸,true,B,handan,live,
130500,邢台市,,prefecture_city,130000,河北省,华北,北方地区,邢台,false,B,,placeholder,
130600,保定市,,prefecture_city,130000,河北省,华北,北方地区,保定,true,B,baoding,live,
130700,张家口市,,prefecture_city,130000,河北省,华北,北方地区,张家口,false,B,,placeholder,
130800,承德市,,prefecture_city,130000,河北省,华北,北方地区,承德,false,B,,placeholder,
130900,沧州市,,prefecture_city,130000,河北省,华北,北方地区,沧州,false,B,,placeholder,
131000,廊坊市,,prefecture_city,130000,河北省,华北,北方地区,廊坊,false,B,,placeholder,
131100,衡水市,,prefecture_city,130000,河北省,华北,北方地区,衡水,false,B,,placeholder,
140100,太原市,,prefecture_city,140000,山西省,华北,北方地区,太原,true,A,taiyuan,live,
140200,大同市,,prefecture_city,140000,山西省,华北,北方地区,大同,true,B,datong,live,
140300,阳泉市,,prefecture_city,140000,山西省,华北,北方地区,阳泉,false,B,,placeholder,
140400,长治市,,prefecture_city,140000,山西省,华北,北方地区,长治,false,B,,placeholder,
140500,晋城市,,prefecture_city,140000,山西省,华北,北方地区,晋城,false,B,,placeholder,
140600,朔州市,,prefecture_city,140000,山西省,华北,北方地区,朔州,false,B,,placeholder,
140700,晋中市,,prefecture_city,140000,山西省,华北,北方地区,晋中,false,B,,placeholder,
140800,运城市,,prefecture_city,140000,山西省,华北,北方地区,运城,false,B,,placeholder,
140900,忻州市,,prefecture_city,140000,山西省,华北,北方地区,忻州,false,B,,placeholder,
141000,临汾市,,prefecture_city,140000,山西省,华北,北方地区,临汾,false,B,,placeholder,
141100,吕梁市,,prefecture_city,140000,山西省,华北,北方地区,吕梁,false,B,,placeholder,
150100,呼和浩特市,,prefecture_city,150000,内蒙古自治区,华北,北方地区,呼和浩特,true,A,hohhot,live,
150200,包头市,,prefecture_city,150000,内蒙古自治区,华北,北方地区,包头,true,B,baotou,live,
150300,乌海市,,prefecture_city,150000,内蒙古自治区,华北,北方地区,乌海,false,B,,placeholder,
150400,赤峰市,,prefecture_city,150000,内蒙古自治区,华北,北方地区,赤峰,false,B,,placeholder,
150500,通辽市,,prefecture_city,150000,内蒙古自治区,华北,北方地区,通辽,false,B,,placeholder,
150600,鄂尔多斯市,,prefecture_city,150000,内蒙古自治区,华北,北方地区,鄂尔多斯,false,B,,placeholder,
150700,呼伦贝尔市,,prefecture_city,150000,内蒙古自治区,华北,北方地区,呼伦贝尔,false,B,,placeholder,
150800,巴彦淖尔市,,prefecture_city,150000,内蒙古自治区,华北,北方地区,巴彦淖尔,false,B,,placeholder,
150900,乌兰察布市,,prefecture_city,150000,内蒙古自治区,华北,北方地区,乌兰察布,false,B,,placeholder,
152200,兴安盟,,league,150000,内蒙古自治区,华北,北方地区,兴安,false,C,,placeholder,
152500,锡林郭勒盟,,league,150000,内蒙古自治区,华北,北方地区,锡林郭勒,false,C,,placeholder,
152900,阿拉善盟,,league,150000,内蒙古自治区,华北,北方地区,阿拉善,false,C,,placeholder,
210100,沈阳市,,prefecture_city,210000,辽宁省,东北,北方地区,沈阳,true,A,shenyang,live,
210200,大连市,,prefecture_city,210000,辽宁省,东北,北方地区,大连,true,B,dalian,live,
210300,鞍山市,,prefecture_city,210000,辽宁省,东北,北方地区,鞍山,false,B,,placeholder,
210400,抚顺市,,prefecture_city,210000,辽宁省,东北,北方地区,抚顺,false,B,,placeholder,
210500,本溪市,,prefecture_city,210000,辽宁省,东北,北方地区,本溪,false,B,,placeholder,
210600,丹东市,,prefecture_city,210000,辽宁省,东北,北方地区,丹东,false,B,,placeholder,
210700,锦州市,,prefecture_city,210000,辽宁省,东北,北方地区,锦州,false,B,,placeholder,
210800,营口市,,prefecture_city,210000,辽宁省,东北,北方地区,营口,false,B,,placeholder,
210900,阜新市,,prefecture_city,210000,辽宁省,东北,北方地区,阜新,false,B,,placeholder,
211000,辽阳市,,prefecture_city,210000,辽宁省,东北,北方地区,辽阳,false,B,,placeholder,
211100,盘锦市,,prefecture_city,210000,辽宁省,东北,北方地区,盘锦,false,B,,placeholder,
211200,铁岭市,,prefecture_city,210000,辽宁省,东北,北方地区,铁岭,false,B,,placeholder,
211300,朝阳市,,prefecture_city,210000,辽宁省,东北,北方地区,朝阳,false,B,,placeholder,
211400,葫芦岛市,,prefecture_city,210000,辽宁省,东北,北方地区,葫芦岛,false,B,,placeholder,
220100,长春市,,prefecture_city,220000,吉林省,东北,北方地区,长春,true,A,changchun,live,
220200,吉林市,,prefecture_city,220000,吉林省,东北,北方地区,吉林,true,B,jilin,live,
220300,四平市,,prefecture_city,220000,吉林省,东北,北方地区,四平,false,B,,placeholder,
220400,辽源市,,prefecture_city,220000,吉林省,东北,北方地区,辽源,false,B,,placeholder,
220500,通化市,,prefecture_city,220000,吉林省,东北,北方地区,通化,false,B,,placeholder,
220600,白山市,,prefecture_city,220000,吉林省,东北,北方地区,白山,false,B,,placeholder,
220700,松原市,,prefecture_city,220000,吉林省,东北,北方地区,松原,false,B,,placeholder,
220800,白城市,,prefecture_city,220000,吉林省,东北,北方地区,白城,false,B,,placeholder,
222400,延边朝鲜族自治州,,autonomous_prefecture,220000,吉林省,东北,北方地区,延边朝鲜,false,C,,placeholder,
230100,哈尔滨市,,prefecture_city,230000,黑龙江省,东北,北方地区,哈尔滨,true,A,harbin,live,
230200,齐齐哈尔市,,prefecture_city,230000,黑龙江省,东北,北方地区,齐齐哈尔,true,B,qiqihar,live,
230300,鸡西市,,prefecture_city,230000,黑龙江省,东北,北方地区,鸡西,false,B,,placeholder,
230400,鹤岗市,,prefecture_city,230000,黑龙江省,东北,北方地区,鹤岗,false,B,,placeholder,
230500,双鸭山市,,prefecture_city,230000,黑龙江省,东北,北方地区,双鸭山,false,B,,placeholder,
230600,大庆市,,prefecture_city,230000,黑龙江省,东北,北方地区,大庆,false,B,,placeholder,
